index;q;r;shape;fuel_type;pos_label;factory_id
1;-11;4;circle;0;1-1;
2;-11;5;circle;0;1-2;
3;-11;6;circle;0;1-3;
4;-11;7;circle;0;1-4;
5;-10;1;circle;0;2-1;
6;-10;2;circle;0;2-2;
7;-10;3;circle;0;2-3;
8;-10;4;circle;0;2-4;
9;-10;5;circle;0;2-5;
10;-10;6;circle;0;2-6;
11;-10;7;circle;0;2-7;
12;-10;8;circle;0;2-8;
13;-10;9;circle;0;2-9;
14;-9;-1;circle;0;3-1;
15;-9;0;circle;0;3-2;
16;-9;1;circle;0;3-3;
17;-9;2;circle;0;3-4;
18;-9;3;circle;0;3-5;
19;-9;4;circle;0;3-6;
20;-9;5;circle;0;3-7;
21;-9;6;circle;0;3-8;
22;-9;7;circle;0;3-9;
23;-9;8;circle;0;3-10;
24;-9;9;circle;0;3-11;
25;-9;10;circle;0;3-12;
26;-8;-2;circle;0;4-1;
27;-8;-1;circle;0;4-2;
28;-8;0;circle;0;4-3;
29;-8;1;circle;0;4-4;
30;-8;2;circle;0;4-5;
31;-8;3;circle;0;4-6;
32;-8;4;circle;0;4-7;
33;-8;5;circle;0;4-8;
34;-8;6;circle;0;4-9;
35;-8;7;circle;0;4-10;
36;-8;8;circle;0;4-11;
37;-8;9;circle;0;4-12;
38;-8;10;circle;0;4-13;
39;-7;-4;circle;0;5-1;
40;-7;-3;circle;0;5-2;
41;-7;-2;circle;0;5-3;
42;-7;-1;circle;0;5-4;
43;-7;0;circle;0;5-5;
44;-7;1;circle;0;5-6;
45;-7;2;circle;0;5-7;
46;-7;3;circle;0;5-8;
47;-7;4;circle;0;5-9;
48;-7;5;circle;0;5-10;
49;-7;6;circle;0;5-11;
50;-7;7;circle;0;5-12;
51;-7;8;circle;0;5-13;
52;-7;9;circle;0;5-14;
53;-7;10;circle;0;5-15;
54;-7;11;circle;0;5-16;
55;-6;-5;circle;0;6-1;
56;-6;-4;circle;0;6-2;
57;-6;-3;circle;0;6-3;
58;-6;-2;circle;0;6-4;
59;-6;-1;circle;0;6-5;
60;-6;0;circle;0;6-6;
61;-6;1;circle;0;6-7;
62;-6;2;circle;0;6-8;
63;-6;3;circle;0;6-9;
64;-6;4;circle;0;6-10;
65;-6;5;circle;0;6-11;
66;-6;6;circle;0;6-12;
67;-6;7;circle;0;6-13;
68;-6;8;circle;0;6-14;
69;-6;9;circle;0;6-15;
70;-6;10;circle;0;6-16;
71;-6;11;circle;0;6-17;
72;-5;-6;circle;0;7-1;
73;-5;-5;circle;0;7-2;
74;-5;-4;circle;0;7-3;
75;-5;-3;circle;0;7-4;
76;-5;-2;circle;0;7-5;
77;-5;-1;circle;0;7-6;
78;-5;0;circle;0;7-7;
79;-5;1;circle;0;7-8;
80;-5;2;circle;0;7-9;
81;-5;3;circle;0;7-10;
82;-5;4;circle;0;7-11;
83;-5;5;circle;0;7-12;
84;-5;6;circle;0;7-13;
85;-5;7;circle;0;7-14;
86;-5;8;circle;0;7-15;
87;-5;9;circle;0;7-16;
88;-5;10;circle;0;7-17;
89;-5;11;circle;0;7-18;
90;-4;-7;circle;0;8-1;
91;-4;-6;circle;0;8-2;
92;-4;-5;circle;0;8-3;
93;-4;-4;circle;0;8-4;
94;-4;-3;circle;0;8-5;
95;-4;-2;circle;0;8-6;
96;-4;-1;circle;0;8-7;
97;-4;0;circle;0;8-8;
98;-4;1;circle;0;8-9;
99;-4;2;circle;0;8-10;
100;-4;3;circle;0;8-11;
101;-4;4;circle;0;8-12;
102;-4;5;circle;0;8-13;
103;-4;6;circle;0;8-14;
104;-4;7;circle;0;8-15;
105;-4;8;circle;0;8-16;
106;-4;9;circle;0;8-17;
107;-4;10;circle;0;8-18;
108;-4;11;circle;0;8-19;
109;-3;-7;circle;0;9-1;
110;-3;-6;circle;0;9-2;
111;-3;-5;circle;0;9-3;
112;-3;-4;circle;0;9-4;
113;-3;-3;circle;0;9-5;
114;-3;-2;circle;0;9-6;
115;-3;-1;circle;0;9-7;
116;-3;0;circle;0;9-8;
117;-3;1;circle;0;9-9;
118;-3;2;circle;0;9-10;
119;-3;3;circle;0;9-11;
120;-3;4;circle;0;9-12;
121;-3;5;circle;0;9-13;
122;-3;6;circle;0;9-14;
123;-3;7;circle;0;9-15;
124;-3;8;circle;0;9-16;
125;-3;9;circle;0;9-17;
126;-3;10;circle;0;9-18;
127;-2;-8;circle;0;10-1;
128;-2;-7;circle;0;10-2;
129;-2;-6;circle;0;10-3;
130;-2;-5;circle;0;10-4;
131;-2;-4;circle;0;10-5;
132;-2;-3;circle;0;10-6;
133;-2;-2;circle;0;10-7;
134;-2;-1;circle;0;10-8;
135;-2;0;circle;0;10-9;
136;-2;1;circle;0;10-10;
137;-2;2;circle;0;10-11;
138;-2;3;circle;0;10-12;
139;-2;4;circle;0;10-13;
140;-2;5;circle;0;10-14;
141;-2;6;circle;0;10-15;
142;-2;7;circle;0;10-16;
143;-2;8;circle;0;10-17;
144;-2;9;circle;0;10-18;
145;-2;10;circle;0;10-19;
146;-1;-9;circle;0;11-1;
147;-1;-8;circle;0;11-2;
148;-1;-7;circle;0;11-3;
149;-1;-6;circle;0;11-4;
150;-1;-5;circle;0;11-5;
151;-1;-4;circle;0;11-6;
152;-1;-3;circle;0;11-7;
153;-1;-2;circle;0;11-8;
154;-1;-1;circle;0;11-9;
155;-1;0;circle;0;11-10;
156;-1;1;circle;0;11-11;
157;-1;2;circle;0;11-12;
158;-1;3;circle;0;11-13;
159;-1;4;circle;0;11-14;
160;-1;5;circle;0;11-15;
161;-1;6;circle;0;11-16;
162;-1;7;circle;0;11-17;
163;-1;8;circle;0;11-18;
164;-1;9;circle;0;11-19;
165;-1;10;circle;0;11-20;
166;0;-9;circle;0;12-1;
167;0;-8;circle;0;12-2;
168;0;-7;circle;0;12-3;
169;0;-6;circle;0;12-4;
170;0;-5;circle;0;12-5;
171;0;-4;circle;0;12-6;
172;0;-3;circle;0;12-7;
173;0;-2;circle;0;12-8;
174;0;-1;circle;0;12-9;
175;0;0;circle;0;12-10;
176;0;1;circle;0;12-11;
177;0;2;circle;0;12-12;
178;0;3;circle;0;12-13;
179;0;4;circle;0;12-14;
180;0;5;circle;0;12-15;
181;0;6;circle;0;12-16;
182;0;7;circle;0;12-17;
183;0;8;circle;0;12-18;
184;0;9;circle;0;12-19;
185;1;-10;circle;0;13-1;
186;1;-9;circle;0;13-2;
187;1;-8;circle;0;13-3;
188;1;-7;circle;0;13-4;
189;1;-6;circle;0;13-5;
190;1;-5;circle;0;13-6;
191;1;-4;circle;0;13-7;
192;1;-3;circle;0;13-8;
193;1;-2;circle;0;13-9;
194;1;-1;circle;0;13-10;
195;1;0;circle;0;13-11;
196;1;1;circle;0;13-12;
197;1;2;circle;0;13-13;
198;1;3;circle;0;13-14;
199;1;4;circle;0;13-15;
200;1;5;circle;0;13-16;
201;1;6;circle;0;13-17;
202;1;7;circle;0;13-18;
203;1;8;circle;0;13-19;
204;1;9;circle;0;13-20;
205;2;-10;circle;0;14-1;
206;2;-9;circle;0;14-2;
207;2;-8;circle;0;14-3;
208;2;-7;circle;0;14-4;
209;2;-6;circle;0;14-5;
210;2;-5;circle;0;14-6;
211;2;-4;circle;0;14-7;
212;2;-3;circle;0;14-8;
213;2;-2;circle;0;14-9;
214;2;-1;circle;0;14-10;
215;2;0;circle;0;14-11;
216;2;1;circle;0;14-12;
217;2;2;circle;0;14-13;
218;2;3;circle;0;14-14;
219;2;4;circle;0;14-15;
220;2;5;circle;0;14-16;
221;2;6;circle;0;14-17;
222;2;7;circle;0;14-18;
223;2;8;circle;0;14-19;
224;3;-10;circle;0;15-1;
225;3;-9;circle;0;15-2;
226;3;-8;circle;0;15-3;
227;3;-7;circle;0;15-4;
228;3;-6;circle;0;15-5;
229;3;-5;circle;0;15-6;
230;3;-4;circle;0;15-7;
231;3;-3;circle;0;15-8;
232;3;-2;circle;0;15-9;
233;3;-1;circle;0;15-10;
234;3;0;circle;0;15-11;
235;3;1;circle;0;15-12;
236;3;2;circle;0;15-13;
237;3;3;circle;0;15-14;
238;3;4;circle;0;15-15;
239;3;5;circle;0;15-16;
240;3;6;circle;0;15-17;
241;3;7;circle;0;15-18;
242;4;-11;circle;0;16-1;
243;4;-10;circle;0;16-2;
244;4;-9;circle;0;16-3;
245;4;-8;circle;0;16-4;
246;4;-7;circle;0;16-5;
247;4;-6;circle;0;16-6;
248;4;-5;circle;0;16-7;
249;4;-4;circle;0;16-8;
250;4;-3;circle;0;16-9;
251;4;-2;circle;0;16-10;
252;4;-1;circle;0;16-11;
253;4;0;circle;0;16-12;
254;4;1;circle;0;16-13;
255;4;2;circle;0;16-14;
256;4;3;circle;0;16-15;
257;4;4;circle;0;16-16;
258;4;5;circle;0;16-17;
259;4;6;circle;0;16-18;
260;4;7;circle;0;16-19;
261;5;-11;circle;0;17-1;
262;5;-10;circle;0;17-2;
263;5;-9;circle;0;17-3;
264;5;-8;circle;0;17-4;
265;5;-7;circle;0;17-5;
266;5;-6;circle;0;17-6;
267;5;-5;circle;0;17-7;
268;5;-4;circle;0;17-8;
269;5;-3;circle;0;17-9;
270;5;-2;circle;0;17-10;
271;5;-1;circle;0;17-11;
272;5;0;circle;0;17-12;
273;5;1;circle;0;17-13;
274;5;2;circle;0;17-14;
275;5;3;circle;0;17-15;
276;5;4;circle;0;17-16;
277;5;5;circle;0;17-17;
278;5;6;circle;0;17-18;
279;6;-11;circle;0;18-1;
280;6;-10;circle;0;18-2;
281;6;-9;circle;0;18-3;
282;6;-8;circle;0;18-4;
283;6;-7;circle;0;18-5;
284;6;-6;circle;0;18-6;
285;6;-5;circle;0;18-7;
286;6;-4;circle;0;18-8;
287;6;-3;circle;0;18-9;
288;6;-2;circle;0;18-10;
289;6;-1;circle;0;18-11;
290;6;0;circle;0;18-12;
291;6;1;circle;0;18-13;
292;6;2;circle;0;18-14;
293;6;3;circle;0;18-15;
294;6;4;circle;0;18-16;
295;6;5;circle;0;18-17;
296;7;-11;circle;0;19-1;
297;7;-10;circle;0;19-2;
298;7;-9;circle;0;19-3;
299;7;-8;circle;0;19-4;
300;7;-7;circle;0;19-5;
301;7;-6;circle;0;19-6;
302;7;-5;circle;0;19-7;
303;7;-4;circle;0;19-8;
304;7;-3;circle;0;19-9;
305;7;-2;circle;0;19-10;
